equipo,confederacion
Argentina,CONMEBOL
Bolivia,CONMEBOL
Brazil,CONMEBOL
Chile,CONMEBOL
Colombia,CONMEBOL
Ecuador,CONMEBOL
Paraguay,CONMEBOL
Peru,CONMEBOL
Uruguay,CONMEBOL
Venezuela,CONMEBOL
Canada,CONCACAF
Costa Rica,CONCACAF
Cuba,CONCACAF
Curaçao,CONCACAF
El Salvador,CONCACAF
Guatemala,CONCACAF
Haiti,CONCACAF
Honduras,CONCACAF
Jamaica,CONCACAF
Mexico,CONCACAF
Nicaragua,CONCACAF
Panama,CONCACAF
Suriname,CONCACAF
Trinidad and Tobago,CONCACAF
United States,CONCACAF
Albania,UEFA
Armenia,UEFA
Austria,UEFA
Azerbaijan,UEFA
Belarus,UEFA
Belgium,UEFA
Bosnia and Herzegovina,UEFA
Bulgaria,UEFA
Croatia,UEFA
Cyprus,UEFA
Czech Republic,UEFA
Denmark,UEFA
England,UEFA
Estonia,UEFA
Finland,UEFA
France,UEFA
Georgia,UEFA
Germany,UEFA
Greece,UEFA
Hungary,UEFA
Iceland,UEFA
Israel,UEFA
Italy,UEFA
Kosovo,UEFA
Latvia,UEFA
Lithuania,UEFA
Luxembourg,UEFA
Malta,UEFA
Moldova,UEFA
Montenegro,UEFA
Netherlands,UEFA
North Macedonia,UEFA
Northern Ireland,UEFA
Norway,UEFA
Poland,UEFA
Portugal,UEFA
Republic of Ireland,UEFA
Romania,UEFA
Russia,UEFA
Scotland,UEFA
Serbia,UEFA
Slovakia,UEFA
Slovenia,UEFA
Spain,UEFA
Sweden,UEFA
Switzerland,UEFA
Turkey,UEFA
Ukraine,UEFA
Wales,UEFA
Algeria,CAF
Angola,CAF
Benin,CAF
Burkina Faso,CAF
Cameroon,CAF
Cape Verde,CAF
DR Congo,CAF
Egypt,CAF
Equatorial Guinea,CAF
Gabon,CAF
Gambia,CAF
Ghana,CAF
Guinea,CAF
Guinea-Bissau,CAF
Ivory Coast,CAF
Kenya,CAF
Libya,CAF
Madagascar,CAF
Mali,CAF
Mauritania,CAF
Morocco,CAF
Mozambique,CAF
Namibia,CAF
Niger,CAF
Nigeria,CAF
Senegal,CAF
Sierra Leone,CAF
South Africa,CAF
Sudan,CAF
Tanzania,CAF
Togo,CAF
Tunisia,CAF
Uganda,CAF
Zambia,CAF
Zimbabwe,CAF
Australia,AFC
Bahrain,AFC
China,AFC
India,AFC
Indonesia,AFC
Iran,AFC
Iraq,AFC
Japan,AFC
Jordan,AFC
Kuwait,AFC
Lebanon,AFC
Malaysia,AFC
North Korea,AFC
Oman,AFC
Qatar,AFC
Saudi Arabia,AFC
South Korea,AFC
Syria,AFC
Thailand,AFC
United Arab Emirates,AFC
Uzbekistan,AFC
Vietnam,AFC
Fiji,OFC
New Caledonia,OFC
New Zealand,OFC
Papua New Guinea,OFC
Solomon Islands,OFC
Tahiti,OFC
